Sequence Name,Name,Type,Minimum,Maximum,Length
ABR2,Bdhn6_E1,exon,1,774,774
ABR2,Bdhn6_E2,exon,889,1302,414
ABR2,Segmento_K2,motif,1063,1107,45
ABR2,Segmento_K2,motif,1246,1290,45
ABR2,Segmento_K1,motif,922,963,42
ABR2,Segmento_Y2,motif,157,180,24
ABR2,Segmento_phi,motif,895,918,24
ABR2,Segmento_Y1,motif,49,69,21
ABR2,Segmento_S,motif,757,774,18
ABR3,Bdhn6_E1,exon,1,774,774
ABR3,Bdhn6_E2,exon,889,1302,414
ABR3,Segmento_K2,motif,1063,1107,45
ABR3,Segmento_K2,motif,1246,1290,45
ABR3,Segmento_K1,motif,922,963,42
ABR3,Segmento_Y2,motif,157,180,24
ABR3,Segmento_phi,motif,895,918,24
ABR3,Segmento_Y1,motif,49,69,21
ABR3,Segmento_S,motif,757,774,18
ABR4,Bdhn6_E1,exon,1,774,774
ABR4,Bdhn6_E2,exon,889,1302,414
ABR4,Segmento_K2,motif,1063,1107,45
ABR4,Segmento_K2,motif,1246,1290,45
ABR4,Segmento_K1,motif,922,963,42
ABR4,Segmento_Y2,motif,157,180,24
ABR4,Segmento_phi,motif,895,918,24
ABR4,Segmento_Y1,motif,49,69,21
ABR4,Segmento_S,motif,757,774,18
ABR5,Bdhn6_E1,exon,1,774,774
ABR5,Bdhn6_E2,exon,889,1302,414
ABR5,Segmento_K2,motif,1063,1107,45
ABR5,Segmento_K2,motif,1246,1290,45
ABR5,Segmento_K1,motif,922,963,42
ABR5,Segmento_Y2,motif,157,180,24
ABR5,Segmento_phi,motif,895,918,24
ABR5,Segmento_Y1,motif,49,69,21
ABR5,Segmento_S,motif,757,774,18
ABR6,Bdhn6_E1,exon,1,774,774
ABR6,Bdhn6_E2,exon,889,1302,414
ABR6,Segmento_K2,motif,1063,1107,45
ABR6,Segmento_K2,motif,1246,1290,45
ABR6,Segmento_K1,motif,922,963,42
ABR6,Segmento_Y2,motif,157,180,24
ABR6,Segmento_phi,motif,895,918,24
ABR6,Segmento_Y1,motif,49,69,21
ABR6,Segmento_S,motif,757,774,18
ABR7,Bdhn6_E1,exon,1,774,774
ABR7,Bdhn6_E2,exon,889,1302,414
ABR7,Segmento_K2,motif,1063,1107,45
ABR7,Segmento_K2,motif,1246,1290,45
ABR7,Segmento_K1,motif,922,963,42
ABR7,Segmento_Y2,motif,157,180,24
ABR7,Segmento_phi,motif,895,918,24
ABR7,Segmento_Y1,motif,49,69,21
ABR7,Segmento_S,motif,757,774,18
ABR8,Bdhn6_E1,exon,1,774,774
ABR8,Bdhn6_E2,exon,889,1302,414
ABR8,Segmento_K2,motif,1063,1107,45
ABR8,Segmento_K2,motif,1246,1290,45
ABR8,Segmento_K1,motif,922,963,42
ABR8,Segmento_Y2,motif,157,180,24
ABR8,Segmento_phi,motif,895,918,24
ABR8,Segmento_Y1,motif,49,69,21
ABR8,Segmento_S,motif,757,774,18
ABR9,Bdhn6_E1,exon,1,780,780
ABR9,Bdhn6_E2,exon,895,1308,414
ABR9,Segmento_K2,motif,1069,1113,45
ABR9,Segmento_K2,motif,1252,1296,45
ABR9,Segmento_K1,motif,928,969,42
ABR9,Segmento_Y2,motif,157,180,24
ABR9,Segmento_phi,motif,901,924,24
ABR9,Segmento_Y1,motif,49,69,21
ABR9,Segmento_S,motif,763,780,18
Adi_2,Bdhn6_E1,exon,1,774,774
Adi_2,Bdhn6_E2,exon,889,1302,414
Adi_2,Segmento_K2,motif,1063,1107,45
Adi_2,Segmento_K2,motif,1246,1290,45
Adi_2,Segmento_K1,motif,922,963,42
Adi_2,Segmento_Y2,motif,157,180,24
Adi_2,Segmento_phi,motif,895,918,24
Adi_2,Segmento_Y1,motif,49,69,21
Adi_2,Segmento_S,motif,757,774,18
Adi_12,Bdhn6_E1,exon,1,774,774
Adi_12,Bdhn6_E2,exon,889,1302,414
Adi_12,Segmento_K2,motif,1063,1107,45
Adi_12,Segmento_K2,motif,1246,1290,45
Adi_12,Segmento_K1,motif,922,963,42
Adi_12,Segmento_Y2,motif,157,180,24
Adi_12,Segmento_phi,motif,895,918,24
Adi_12,Segmento_Y1,motif,49,69,21
Adi_12,Segmento_S,motif,757,774,18
Arn1,Bdhn6_E1,exon,1,780,780
Arn1,Bdhn6_E2,exon,895,1308,414
Arn1,Segmento_K2,motif,1069,1113,45
Arn1,Segmento_K2,motif,1252,1296,45
Arn1,Segmento_K1,motif,928,969,42
Arn1,Segmento_Y2,motif,157,180,24
Arn1,Segmento_phi,motif,901,924,24
Arn1,Segmento_Y1,motif,49,69,21
Arn1,Segmento_S,motif,763,780,18
Bd1_1,Bdhn6_E1,exon,1,780,780
Bd1_1,Bdhn6_E2,exon,895,1308,414
Bd1_1,Segmento_K2,motif,1069,1113,45
Bd1_1,Segmento_K2,motif,1252,1296,45
Bd1_1,Segmento_K1,motif,928,969,42
Bd1_1,Segmento_Y2,motif,157,180,24
Bd1_1,Segmento_phi,motif,901,924,24
Bd1_1,Segmento_Y1,motif,49,69,21
Bd1_1,Segmento_S,motif,763,780,18
Bd2_3,Bdhn6_E1,exon,1,774,774
Bd2_3,Bdhn6_E2,exon,889,1302,414
Bd2_3,Segmento_K2,motif,1063,1107,45
Bd2_3,Segmento_K2,motif,1246,1290,45
Bd2_3,Segmento_K1,motif,922,963,42
Bd2_3,Segmento_Y2,motif,157,180,24
Bd2_3,Segmento_phi,motif,895,918,24
Bd2_3,Segmento_Y1,motif,49,69,21
Bd2_3,Segmento_S,motif,757,774,18
Bd18_1,Bdhn6_E1,exon,1,774,774
Bd18_1,Bdhn6_E2,exon,889,1302,414
Bd18_1,Segmento_K2,motif,1063,1107,45
Bd18_1,Segmento_K2,motif,1246,1290,45
Bd18_1,Segmento_K1,motif,922,963,42
Bd18_1,Segmento_Y2,motif,157,180,24
Bd18_1,Segmento_phi,motif,895,918,24
Bd18_1,Segmento_Y1,motif,49,69,21
Bd18_1,Segmento_S,motif,757,774,18
Bd21.v3,Bdhn6_E1,exon,1,774,774
Bd21.v3,Bdhn6_E2,exon,889,1302,414
Bd21.v3,Segmento_K2,motif,1063,1107,45
Bd21.v3,Segmento_K2,motif,1246,1290,45
Bd21.v3,Segmento_K1,motif,922,963,42
Bd21.v3,Segmento_Y2,motif,157,180,24
Bd21.v3,Segmento_phi,motif,895,918,24
Bd21.v3,Segmento_Y1,motif,49,69,21
Bd21.v3,Segmento_S,motif,757,774,18
Bd21_3,Bdhn6_E1,exon,1,774,774
Bd21_3,Bdhn6_E2,exon,889,1302,414
Bd21_3,Segmento_K2,motif,1063,1107,45
Bd21_3,Segmento_K2,motif,1246,1290,45
Bd21_3,Segmento_K1,motif,922,963,42
Bd21_3,Segmento_Y2,motif,157,180,24
Bd21_3,Segmento_phi,motif,895,918,24
Bd21_3,Segmento_Y1,motif,49,69,21
Bd21_3,Segmento_S,motif,757,774,18
Bd30_1,Bdhn6_E1,exon,1,774,774
Bd30_1,Bdhn6_E2,exon,892,1305,414
Bd30_1,Segmento_K2,motif,1066,1110,45
Bd30_1,Segmento_K2,motif,1249,1293,45
Bd30_1,Segmento_K1,motif,925,966,42
Bd30_1,Segmento_Y2,motif,157,180,24
Bd30_1,Segmento_phi,motif,898,921,24
Bd30_1,Segmento_Y1,motif,49,69,21
Bd30_1,Segmento_S,motif,757,774,18
BdhnBdis6,Bdhn6_E1,exon,1,774,774
BdhnBdis6,Bdhn6_E2,exon,775,1188,414
BdhnBdis6,Segmento_K2,motif,949,993,45
BdhnBdis6,Segmento_K2,motif,1132,1176,45
BdhnBdis6,Segmento_K1,motif,808,849,42
BdhnBdis6,Segmento_Y2,motif,157,180,24
BdhnBdis6,Segmento_phi,motif,781,804,24
BdhnBdis6,Segmento_Y1,motif,49,69,21
BdhnBdis6,Segmento_S,motif,757,774,18
BdhnBsta6,BdhnBsta6_E1,exon,1,633,633
BdhnBsta6,BdhnBsta6_E2,exon,637,1089,453
